,user_id
0,A00046902LP5YSDV0VVNF
1,A0029274J35Q1MYNKUWO
2,A004507634IQ8TNQ3YTUI
3,A005011233SVRED9Q0VY0
4,A00676013IBZZQ3UYWK47
5,A00700212KB3K0MVESPIY
6,A00916831NKA63GSRONW
7,A0103849GBVWICKXD4T6
8,A01065372CU68QLNRVNPM
9,A0107455RVRPB9MY9CFV
10,A01685981QK9IX1Q16YZY
11,A02055972N4JENAU622IQ
12,A021943320Y3C5B58IY79
13,A022875323P4KQ6WNFXF4
14,A02752563I3MJ8X8ILTOC
15,A02758561DKGQBX8RL8O8
16,A02904661A62AP64S46MT
17,A02909442PFZD9KMXG00H
18,A0334855HN6E38CXWXZR
19,A03488112VAORYVH8LHW4
20,A03504219SV9C1QM1OM2
21,A036147939NFPC389VLK
22,A03650172AY6UYG32TU70
23,A036513549TVB6QSFK04
24,A037357115LCU92V2R0YR
25,A03830731XTTK5JYIFYL
26,A038510724QUZG0K4HFMG
27,A0387429WAPYLMI7N41V
28,A04335242IW56SNLG1NCL
29,A04392581M9OB4PQFJ4ZM
30,A04673051X8PCSPHE4E79
31,A0473259F6GQNBD88IYN
32,A04833171REPITHO9UFT9
33,A04900652RNHFA4SL5VXM
34,A04970252MNRWV2RKDKAL
35,A05054573ECKO0N8PFJ78
36,A05496942WEOSVBIPWF78
37,A0551526AN90FRWIX3AN
38,A055760637EV7Z72T33OR
39,A05638902RUTI18VESIA4
40,A0568194OBVPX83FG8UU
41,A05720942NHLRE8CMI05R
42,A05829022JA8IHYVPY4F7
43,A058608498H4ON4LR346
44,A0607295133OZ2DIJW5P8
45,A0654491228OCL6EI65IE
46,A0679288292UX0L5BVERG
47,A07259711M15V5YYZG2MV
48,A077706524I8SJY7S44Q6
49,A08324222HTYZDE4L3F8Z
50,A08419242D7D5FVFEXGED
51,A0887921XF48L28U2RDZ
52,A09540221MN9V7FUHXIE4
53,A1002O7Q4BOWMM
54,A1004703RC79J9
55,A1009K34VLGGEF
56,A100H2245MF6NL
57,A100HBA52LVUO
58,A100L918633LUO
59,A100WFKYVRPVX7
60,A100WO06OQR8BQ
61,A100ZQDV7L8PVV
62,A10170L2S5BFA4
63,A101GG7X49PK0A
64,A101QWW7PVEL5I
65,A101S9SSIL7I80
66,A101TN0086BI4Y
67,A101ZXAZ0EDQLW
68,A1027BOR2MECKT
69,A102BH7NOAGP6
70,A102EC3XGCBZ81
71,A102J5JG330YPA
72,A102K1A0L0A6HT
73,A102SPSNVRMF72
74,A102U8PNDGBQ38
75,A102YLCXDY4WA0
76,A1034232JP3IJV
77,A10359JZH03IKU
78,A10367AR7BPFG2
79,A103BJIOJSDJL1
80,A103EFN0LE0PPT
81,A103IPWS3THOX2
